id_produk,nama_produk,review,id_user,nama_akun,rating_user,ulasan_produk,waktu_review,varian_produk
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,17,UI0026,M***m,5,"Produk sesuai pesanan, terima kasih",Lebih dari 1 tahun lalu,Varian: Classic White
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,18,UI0027,Sandra,5,Barang ok,Lebih dari 1 tahun lalu,Varian: Classic White
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,19,UI0028,Fachrizal,5,"Terbaiklah, setelah transfer nomer resinya langsung keluar dan dikirim langsung gapake lama. Katanya sih bisa dipasang ke Leopold Fc750R tapi gatau deh bener apa nggak, s...",Lebih dari 1 tahun lalu,Varian: Classic Black
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,20,UI0029,Dave,5,Mantap keycaps Enak banget buat nge-game,Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,21,UI0030,Dhanika,5,"Bagus bgt bahannya, di jari enak feelnya. Legendsnya saya suka, gak kyk gaming style yg aneh2. Kekurangannya cuma yg warna grey gak terlalu tembus LED",Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,22,UI0031,j***s,5,bagus,Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,23,UI0032,Yosefan,5,"pengriman nya cepat dan kurir nya baik xixixixi.... ...... canda boss, produk nya bagus keycap ny nyaman cuma buat keyboard logitech g512 yg gbs masuk cma ctrl space s...",Lebih dari 1 tahun lalu,Varian: Classic Black
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,24,UI0033,V***o,4,Kurang Cocok Sama Keyboard Logitech G512 GX Brown,Lebih dari 1 tahun lalu,Varian: Classic Black
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,25,UI0034,g***t,5,none,Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,26,UI0035,Hans,5,Top!,Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,27,UI0036,A***i,5,Mantulll,Lebih dari 1 tahun lalu,Varian: Classic Black
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,28,UI0037,Jason,5,"Respons Seller cepat dan ramah, pengiriman kilat sehari sampai padahal cuman pakai reguler dan packing mantap. Produk overall ok hampir semua key compatible kecuali “Alt”...",Lebih dari 1 tahun lalu,Varian: Classic White
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,29,UI0038,Dicky,5,bagus gk bocor warnanya,Lebih dari 1 tahun lalu,Varian: Classic Black
