Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
EPOS H6 PRO OPEN - OPEN Acoustic Gaming Headset - Greeen,1,E***l,bintang 5,mantepp kondisi 100%,Lebih dari 1 tahun lalu,Varian: Greeen
EPOS H6 PRO OPEN - OPEN Acoustic Gaming Headset - Greeen,2,Renaldy,bintang 5,termantap dah kalo beli disini,Lebih dari 1 tahun lalu,Varian: Greeen
