Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
CORSAIR DARK CORE / DARKCORE RGB PRO Wireless - Gaming Mouse,1,J***l,bintang 5,"Work best mantapp, bakal RO lagi sama toko ini (y)",Lebih dari 1 tahun lalu,none
CORSAIR DARK CORE / DARKCORE RGB PRO Wireless - Gaming Mouse,2,IDA,bintang 5,Terimakasih,Lebih dari 1 tahun lalu,none
CORSAIR DARK CORE / DARKCORE RGB PRO Wireless - Gaming Mouse,3,L***i,bintang 5,"barang bagus, cuma pengiriman nya aja yg telat sehari gara² ga dpt drivernya 😅",Lebih dari 1 tahun lalu,none
CORSAIR DARK CORE / DARKCORE RGB PRO Wireless - Gaming Mouse,4,Mohammad,bintang 5,none,Lebih dari 1 tahun lalu,none
CORSAIR DARK CORE / DARKCORE RGB PRO Wireless - Gaming Mouse,5,d***i,bintang 5,Mantap 👍👍👍,Lebih dari 1 tahun lalu,none
CORSAIR DARK CORE / DARKCORE RGB PRO Wireless - Gaming Mouse,6,Yulita,bintang 5,Mantap mouse-nya. Pengiriman jg cepat n packing aman,Lebih dari 1 tahun lalu,none
CORSAIR DARK CORE / DARKCORE RGB PRO Wireless - Gaming Mouse,7,Anthonio,bintang 5,"mousenya mantap, sesuai diskripsi. tpi tdk bisa qi wireless lgsung.hanya tipe SE",Lebih dari 1 tahun lalu,none
