Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Elgato Wave Shock Mount,1,J***n,bintang 5,Sesuai dengan deskripsi,6 bulan lalu,none
Elgato Wave Shock Mount,2,Safwan,bintang 5,Shock mount helps add weight to my wave 3 so I can use it with my Rode PSA1 boom arm.,Lebih dari 1 tahun lalu,none
Elgato Wave Shock Mount,3,Rifky,bintang 5,none,Lebih dari 1 tahun lalu,none
Elgato Wave Shock Mount,4,Nino,bintang 5,"selalu GG kalau belanja di GGS terimakasih atas pelayanan yang selalu memuaskan pesan jam 3 , jam 5 sudah sampai sukses terus",Lebih dari 1 tahun lalu,none
