Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
NYK NEMESIS X6 THUNDERSTORM - Cooling Pad,1,Zenga,bintang 5,"cakep, barang bagus admin responsif",Lebih dari 1 tahun lalu,none
NYK NEMESIS X6 THUNDERSTORM - Cooling Pad,2,Alex,bintang 5,"respon cepat, harga dapat, kualitas mantab, recomended pokok nya",Lebih dari 1 tahun lalu,none
NYK NEMESIS X6 THUNDERSTORM - Cooling Pad,3,Indra,bintang 5,packing nya rapih bagus bgt. pertahankan ya nyk.,Lebih dari 1 tahun lalu,none
