Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
RAZER KRAKEN V3X / V3 X Wired USB - Gaming Headset,1,M***n,bintang 5,"Toko fast resp, barang sesuai, pengiriman cepat, semoga awet 🙏",4 bulan lalu,none
RAZER KRAKEN V3X / V3 X Wired USB - Gaming Headset,2,Rafifff,bintang 5,🫶🏻,6 bulan lalu,none
RAZER KRAKEN V3X / V3 X Wired USB - Gaming Headset,3,Thomas,bintang 5,Mantap,Lebih dari 1 tahun lalu,none
RAZER KRAKEN V3X / V3 X Wired USB - Gaming Headset,4,L***e,bintang 5,"As always, puaaaass!!🥰",Lebih dari 1 tahun lalu,none
RAZER KRAKEN V3X / V3 X Wired USB - Gaming Headset,5,Aza,bintang 5,"Razer tak pernah boong 🥳 Dapet bonus dari seller, ngeraaa 😍",Lebih dari 1 tahun lalu,none
