Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Mouse Gaming Rexus Xierra X18 RIFLE - Hitam,1,Tedy,bintang 5,kualitas bagus dapet casing juga buat harga mouse 100rb an dah pake pixart entry level lumayan lah,Lebih dari 1 tahun lalu,Varian: Putih
Mouse Gaming Rexus Xierra X18 RIFLE - Hitam,2,Jihad,bintang 5,Best value mouse,Lebih dari 1 tahun lalu,Varian: Hitam
Mouse Gaming Rexus Xierra X18 RIFLE - Hitam,3,Indrawan,bintang 5,"Fast respon, pengiriman cepat tepat waktu, packing rapih & Mouse berfungsi dgn baik. Software friendly user & RGB nya bnyk pilihan. Sensitivitas pergerakn mouse j...",Lebih dari 1 tahun lalu,Varian: Hitam
