Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Gamecolab | The Mousepad - Cloth - Gaming Mousepad - L,1,Raden,bintang 5,Bagus mousepadnya harganya gak ngotak dengan kualitas kayak gini,Lebih dari 1 tahun lalu,Varian: L
Gamecolab | The Mousepad - Cloth - Gaming Mousepad - L,2,Mayo,bintang 5,"paket sudah diterima dgn baik ,puas terimakasih seller",Lebih dari 1 tahun lalu,Varian: L
Gamecolab | The Mousepad - Cloth - Gaming Mousepad - L,3,S***o,bintang 5,"Produk oke, ukuran jg cukup besar untuk ukuran Medium, permukaan bawahnya nge-grip ke meja. Jadi ga akan kegeser2.",Lebih dari 1 tahun lalu,Varian: M
Gamecolab | The Mousepad - Cloth - Gaming Mousepad - L,4,Venus,bintang 5,"belanja di GGS ga pernah kecewa, pelayanan sama kualitas ny TOP",Lebih dari 1 tahun lalu,none
Gamecolab | The Mousepad - Cloth - Gaming Mousepad - L,5,M***d,bintang 5,"Kainnya halus banget di tangan, menggokil",Lebih dari 1 tahun lalu,none
Gamecolab | The Mousepad - Cloth - Gaming Mousepad - L,6,Mufti,bintang 5,"Barang sesuai dengan deskripsi dan foto yang dicantumkan di halaman penjual, pengiriman super cepat, overall memuaskan.",Lebih dari 1 tahun lalu,none
Gamecolab | The Mousepad - Cloth - Gaming Mousepad - L,7,Y***l,bintang 5,"Cekep Mousepad nya, Seller fast respon. Recommended beli di sini",Lebih dari 1 tahun lalu,none
Gamecolab | The Mousepad - Cloth - Gaming Mousepad - L,8,B***s,bintang 5,"Surface lumayan smooth, ketebalannya standar 3mm, pinggirannya ga ada stitch ya mirip sama steelseries qck gitu, gatau deh masalah keawetan nanti kayak gmana. Brandingnya...",Lebih dari 1 tahun lalu,none
