Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
HYPERX Alloy Origins 60 Mechanical - Gaming Keyboard,1,G***l,bintang 5,none,Lebih dari 1 tahun lalu,none
HYPERX Alloy Origins 60 Mechanical - Gaming Keyboard,2,I***i,bintang 5,"meskipun responsnya lama, aku tetap kasih bintang 5. mungkin karena ppkm ada pembatasan jam kerja. keep it up. di luar itu gak ada masalah dengan produk dan pengiriman.",Lebih dari 1 tahun lalu,none
HYPERX Alloy Origins 60 Mechanical - Gaming Keyboard,3,O***g,bintang 5,Bagus enak clicky,Lebih dari 1 tahun lalu,none
