Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Steelseries Aerox 3 Onyx 2022 Edition Wireless - Gaming Mouse,1,R***y,bintang 5,Mantul,4 bulan lalu,none
Steelseries Aerox 3 Onyx 2022 Edition Wireless - Gaming Mouse,2,achmadnurfauzi,bintang 5,Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. Best value mouse,Lebih dari 1 tahun lalu,none
Steelseries Aerox 3 Onyx 2022 Edition Wireless - Gaming Mouse,3,J***e,bintang 5,"mousenya bagus, mantap",Lebih dari 1 tahun lalu,none
Steelseries Aerox 3 Onyx 2022 Edition Wireless - Gaming Mouse,4,Pixel,bintang 5,Barang bagus dan ringan,Lebih dari 1 tahun lalu,none
