Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Razer Wolverine V2 Chroma Xbox Series X|S Controller - Gaming Pad,1,Christian,bintang 5,Fast respond / speedy delivery 👌👍,Lebih dari 1 tahun lalu,none
Razer Wolverine V2 Chroma Xbox Series X|S Controller - Gaming Pad,2,Aldiatama,bintang 5,"GGS memang bener-bener gak cuman jual barang, beneran customer satisfaction no.1 Kemarin ada issue terkait courier yg buat barangnya telat sampai, tapi dari GGS menawark...",Lebih dari 1 tahun lalu,none
