Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Epos | Sennheiser GSP 370 - Wireless Gaming Headset,1,B***n,bintang 5,GOKILL!!!,5 bulan lalu,none
Epos | Sennheiser GSP 370 - Wireless Gaming Headset,2,aidil,bintang 4,"awalnya barangnya rusak gk bisa konek dongle, akhirnya minta ganti dan bisa. mudah2an awet",6 bulan lalu,none
Epos | Sennheiser GSP 370 - Wireless Gaming Headset,3,Geraldo,bintang 5,terbaikkk,10 bulan lalu,none
Epos | Sennheiser GSP 370 - Wireless Gaming Headset,4,Enricko,bintang 5,Sound mantap,12 bulan lalu,none
Epos | Sennheiser GSP 370 - Wireless Gaming Headset,5,b***n,bintang 5,Gg,Lebih dari 1 tahun lalu,none
