Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Fantech MAXFIT81 Wireless Bluetooth 75% Mechanical Keyboard Gaming ABS,1,W***i,bintang 5,Pelapak responsive & produk nya ok,Lebih dari 1 tahun lalu,Varian: White - Outemu Blue
Fantech MAXFIT81 Wireless Bluetooth 75% Mechanical Keyboard Gaming ABS,2,Dharma,bintang 5,Mantap banget keyboardnya,Lebih dari 1 tahun lalu,Varian: White - Outemu Red
Fantech MAXFIT81 Wireless Bluetooth 75% Mechanical Keyboard Gaming ABS,3,Kuro,bintang 5,Keyboard nya berfungsi dengan baik dan kondisi nya aman dan cs nya fast respond,Lebih dari 1 tahun lalu,Varian: White - Outemu Blue
Fantech MAXFIT81 Wireless Bluetooth 75% Mechanical Keyboard Gaming ABS,4,syahril,bintang 5,Mantap Betul lah,Lebih dari 1 tahun lalu,Varian: White - Outemu Blue
Fantech MAXFIT81 Wireless Bluetooth 75% Mechanical Keyboard Gaming ABS,5,L***a,bintang 5,"Pengiriman rapih, barang mantap dan bagus. Terima kasih",Lebih dari 1 tahun lalu,Varian: Black - Outemu Blue
