Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,1,R***a,bintang 5,ok,4 hari lalu,Varian: Abu-abu
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,2,Dhimas,bintang 5,"Oke, cukup nyaman. Tp kalo ada budget lebih mending ambil yg S krn armrest yg bisa diatur ternyata ngaruh. Tp overall ok, cukup. Saya suka detail mesh yg sampe kebelakang kesannya serius.",1 minggu lalu,Varian: Putih
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,3,Andhika,bintang 5,"pelayanan toko mantap, minta kirim besok siang beneran dikirim besok siang, paket aman nggak ada rusak sama skali, mantaplah pelayanannya, nggak tipu2 kya toko sebelah pesan instan nunggu 3 hari nggak kirim2 malah nyuruh beli warna lain Bantalnya empuk, roda nggak bunyi pas gerak, lumayan tinggi kursinya cman arm restnya nggak ada bantal full plastik sama klw tinggi 175 tetap bisa lipat kaki tapi agak susah",3 minggu lalu,Varian: Hitam
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,4,Budi,bintang 5,puas banget sama pelayanan tokonya 👍,1 bulan lalu,Varian: Pink
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,5,M***d,bintang 5,"kursi nya enak, the best pokoknya👍",1 bulan lalu,Varian: Hitam
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,6,Fiqrian,bintang 5,sudah sesuai,3 bulan lalu,Varian: Abu-abu
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,7,ferdy,bintang 5,Barangnya bagus plus dapat ganci 👍,5 bulan lalu,Varian: Hitam
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,8,Yeremia,bintang 5,"Pengiriman cepat, layanan dari seller kg fast respon. Memuaskan 👍🏼",10 bulan lalu,Varian: Hitam
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,9,j***t,bintang 3,"sebenernya bagus, cuma ini beli 2 kursi. yang satunya OK. tapi satunya lagi ada satu handrest nya yang pecah, mau komplain malas aja tar ribet lagi. jadi diterima aja.",11 bulan lalu,Varian: Hitam
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,10,Djunaidi,bintang 5,sesuai deskripsi,Lebih dari 1 tahun lalu,Varian: Putih
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,11,e***k,bintang 5,bantal nya firm dan gk keras. mudah untuk pemasangan. kurangnya cuman gak bisa nambah projek kerjaan aja. hehe,Lebih dari 1 tahun lalu,Varian: Hitam
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,12,Dery,bintang 1,"PESEN TANGGAL 1 PAKE GOSEND SAMPENYA TANGGAL 4 , SANGAT MENGECEWAKAN DAN MERUGIKAN !",Lebih dari 1 tahun lalu,Varian: Pink
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,13,Nyoman,bintang 5,"Sudah diterima dan dirakit.. ok semuanya, semoga awet",Lebih dari 1 tahun lalu,Varian: Abu-abu
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,14,m***d,bintang 5,"Maaf telat review, baru selesai dipasang skrng. Terimakasih ya..kursinya bagus dan nyaman. Semoga awet. Recommended!",Lebih dari 1 tahun lalu,Varian: Hitam
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,15,Mario,bintang 5,"Kursinya enak empuk gak bikin pegel,langsung rakit abis pulang kerja puas lah pokoknya",Lebih dari 1 tahun lalu,Varian: Abu-abu
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,16,a***a,bintang 5,"barang sampai secepat kilat, muluss cakep deh pokoknya",Lebih dari 1 tahun lalu,Varian: Abu-abu
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,17,c***s,bintang 5,"MANTAP!! Kerasa solid buildnya, busa dudukan tebal dan empuk, materialnya oke",Lebih dari 1 tahun lalu,Varian: Mint
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,18,Taupan,bintang 5,"kualitas ok, pengiriman cepat, paket aman. hanya rakitnya butuh tenaga hehe. overall worth it.",Lebih dari 1 tahun lalu,Varian: Putih
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,19,Budi,bintang 5,joss,Lebih dari 1 tahun lalu,Varian: Hitam
Fantech OCA258 / OC-A258 Kursi Kerja Kantor Premium Office Chair - Putih,20,Muhammad,bintang 5,none,Lebih dari 1 tahun lalu,Varian: Abu-abu
