Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Fantech GP15L EOS LITE / GP15 EOS VEGA MULTI PLATFORM GAMEPAD - GP15L EOS LITE,1,R***n,bintang 2,"Barangnya bagus 10/10. Minus pelayanan seller, diminta jangan kirim invoice tetep dikirim. Bilangnya iya"" tapi ternyata cuman formalitas doang bales chat.",2 hari lalu,Varian: GP15 EOS VEGA
Fantech GP15L EOS LITE / GP15 EOS VEGA MULTI PLATFORM GAMEPAD - GP15L EOS LITE,2,Erick,bintang 5,"Build qualitynya bagus, bisa buat game balapan juga. 👍",4 hari lalu,Varian: GP15 EOS VEGA
Fantech GP15L EOS LITE / GP15 EOS VEGA MULTI PLATFORM GAMEPAD - GP15L EOS LITE,3,gedesebelah,bintang 5,Circularity error 0% gila mantab bener wkwkwk,2 minggu lalu,Varian: GP15 EOS VEGA
Fantech GP15L EOS LITE / GP15 EOS VEGA MULTI PLATFORM GAMEPAD - GP15L EOS LITE,4,Irvan,bintang 5,"Mantep deh, gapernah nyesel beli barang di ggs👌",1 bulan lalu,Varian: GP15 EOS VEGA
Fantech GP15L EOS LITE / GP15 EOS VEGA MULTI PLATFORM GAMEPAD - GP15L EOS LITE,5,M***d,bintang 3,"Untuk pelayanan chat toko bagus fast respon dan ramah, tapi untuk logistiknya ini kacau. Saya beli pakai Go-send instant hari Sabtu 2 Maret jam 12:30 baru di panggil goje...",2 bulan lalu,Varian: GP15 EOS VEGA
