Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,24,A***n,bintang 4,"Untuk keyboardnya sih oke semua berfungsi dengan baik, cuman mungkin lagi bad luck aja dapetnya yang lumayan kotor keycapsnya dan ada sedikit finishing yang gk rapih. Tap...",Lebih dari 1 tahun lalu,Varian: White - Tactile Brown
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,25,S***e,bintang 5,none,Lebih dari 1 tahun lalu,Varian: Black - Quiet Red
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,26,A***g,bintang 5,"pengiriman cepat. product berfungsi dengan baik. recommended banget 👍 untuk keyboard sendiri, utk harga segini sudah sangat puas. biasa pake MX Keys dan coba ke mechani...",Lebih dari 1 tahun lalu,Varian: White - Tactile Brown
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,27,irfan,bintang 5,none,Lebih dari 1 tahun lalu,Varian: White - Quiet Red
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,28,R***i,bintang 5,"keren, bagus keyboardnya..",Lebih dari 1 tahun lalu,Varian: White - Tactile Blue
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,29,B***a,bintang 5,Keyboardnya mantap sesuai ekspektasi switchnya juga lumayan bagus semua fiturnya juga berfungsi dengan baik,Lebih dari 1 tahun lalu,Varian: Black - Quiet Red
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,30,S***a,bintang 5,Salah satu budget mechanical keyboard terbaik,Lebih dari 1 tahun lalu,Varian: Black - Tactile Blue
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,31,M***d,bintang 5,"Overall bagus, semua fungsi udah saya coba. Cm yg sedikit agak kurang di print keycaps nya yg ga gt clean, ada hitam2 di fontnya lalu agak ringkih apa karena ini bahannya...",Lebih dari 1 tahun lalu,Varian: Black - Quiet Red
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,32,L***u,bintang 5,Keyboardnya mantap dan enak digunakan. blm coba buat gaming.tp ngetik enak.Build quality-nya oke,Lebih dari 1 tahun lalu,Varian: White - Tactile Brown
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,33,Rizal,bintang 5,Keyboardnya mantap dan enak digunakan,Lebih dari 1 tahun lalu,Varian: White - Tactile Brown
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,34,A***e,bintang 5,Keyboardnya mantap dan enak digunakan. Enak banget buat nge-game.,Lebih dari 1 tahun lalu,Varian: White - Tactile Brown
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,35,R***l,bintang 5,Keyboardnya mantap dan enak digunakan Build quality-nya terbaik Enak banget buat nge-game,Lebih dari 1 tahun lalu,Varian: Black - Quiet Red
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,36,e***a,bintang 5,keren enak bgt dipake🙏,Lebih dari 1 tahun lalu,Varian: White - Tactile Blue
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,37,D***o,bintang 5,Keyboardnya mantap dan enak digunakan.,Lebih dari 1 tahun lalu,Varian: Black - Tactile Brown
